,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
409,2023-06-08,0.0,0.0,0.0,0.0,0.0,1.1216310441795936,0.0149165320125727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0
410,2023-06-08,0.0,0.0,0.0,0.0,0.0,-1.139016179442649,0.0089963332467646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
411,2023-06-08,0.0,0.0,0.0,0.0,0.0,0.1660746310010733,0.3161569569209856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
412,2023-06-08,0.0,0.0,0.0,0.0,0.0,0.1080230010025445,0.2206214036197666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
414,2023-06-09,0.0,0.0,0.0,0.0,0.0,1.1762028613146005,0.0408271312149752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
416,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.2098121272225763,0.4568816682191178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
418,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.1787424417363888,0.0246498869635172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0
420,2023-06-10,0.0,0.0,0.0,0.0,0.0,0.6028159258329865,0.0060131878671635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
421,2023-06-10,0.0,0.0,0.0,0.0,0.0,-0.2820022042418716,0.2792696945154275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
425,2023-06-10,0.0,0.0,0.0,0.0,0.0,-0.1928097052523386,0.1867072431889266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
426,2023-06-11,0.0,0.0,0.0,0.0,0.0,-1.9327213654830453,0.1134472475161255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
427,2023-06-11,0.0,0.0,0.0,0.0,0.0,0.0876261124446904,0.0629165543143021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
428,2023-06-11,0.0,0.0,0.0,0.0,0.0,-0.7279935405419071,0.0351694086604097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0,1
431,2023-06-11,0.0,0.0,0.0,0.0,0.0,-0.5749309837111993,0.0538156634505204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1
442,2023-06-13,0.0,0.0,0.0,0.0,0.0,0.1923549537614924,0.0060131878671635,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
444,2023-06-14,0.0,0.0,0.0,0.0,0.0,1.1336809844762838,0.551026677003337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0
445,2023-06-14,0.0,0.0,0.0,0.0,0.0,0.1637413374190977,0.0492105530123595,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,0
452,2023-06-15,0.0,0.0,0.0,0.0,0.0,-1.1057918589787277,0.0193169688260756,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
453,2023-06-15,0.0,0.0,0.0,0.0,0.0,0.8166488009934298,0.03231950606593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0
474,2023-06-19,1.0,0.0,0.0,0.0,0.0,1.058731654461676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
480,2023-06-20,0.0,0.0,0.0,0.0,0.0,1.109768533066675,0.0265769162690366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
481,2023-06-20,0.0,0.0,0.0,0.0,0.0,0.1412639717414406,0.0149165320125727,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
482,2023-06-20,0.0,0.0,0.0,0.0,0.0,0.7831969748576972,0.1097142710283525,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
483,2023-06-20,0.0,0.0,0.0,0.0,0.0,-1.1377723591260718,0.010482114655602,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
485,2023-06-20,0.0,0.0,0.0,0.0,0.0,0.0907039190956174,0.2854312793168614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0
486,2023-06-21,0.0,0.0,0.0,0.0,0.0,0.7365158132265961,0.4486386435151163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0
487,2023-06-21,0.0,0.0,0.0,0.0,0.0,1.0964277387528123,0.2584542488533778,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0
488,2023-06-21,0.0,0.0,0.0,0.0,0.0,0.0603719261763486,0.1659577376476138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0
489,2023-06-21,0.0,0.0,0.0,0.0,0.0,0.0970458551446108,0.164446541527696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,0
491,2023-06-21,0.0,0.0,0.0,0.0,0.0,-1.2285001873417518,0.3091430780441008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0
492,2023-06-22,0.0,0.0,0.0,0.0,0.0,-1.143616694959152,0.0193169688260756,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
494,2023-06-22,0.0,0.0,0.0,0.0,0.0,0.147840487876688,0.0893845659378073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
